path,video_no,video_amount,frame_no,frame_amount,node_id,x1,y1,x2,y2,conf,detclass
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,1,1439,6,562,115,589,224,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,1,1439,5,0,198,40,338,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,1,1439,4,25,257,105,326,0,26 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,1,1439,3,63,123,98,218,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,1,1439,2,541,102,566,241,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,1,1439,1,479,116,518,241,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,2,1439,6,563,112,591,223,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,2,1439,5,0,193,39,313,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,2,1439,4,26,255,105,324,0,26 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,2,1439,3,60,121,95,216,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,2,1439,2,541,99,567,242,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,2,1439,1,478,115,516,240,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,3,1439,6,561,111,592,227,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,3,1439,5,0,197,39,315,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,3,1439,4,26,255,104,324,0,26 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,3,1439,3,50,119,90,217,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,3,1439,2,541,99,568,242,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,3,1439,1,478,116,517,240,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,4,1439,6,562,113,593,223,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,4,1439,5,0,197,39,314,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,4,1439,4,26,255,105,324,0,26 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,4,1439,3,48,120,86,215,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,4,1439,2,541,99,568,242,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,4,1439,1,478,115,517,239,0,0 
